order_item_id,order_id,product_id,order_item_quantity,order_item_product_price,order_item_discount,order_item_discount_price,sales,order_item_total,order_item_profit_ratio
180517,77202,1360,1,327.75,13.11,0.04,327.75,314.64,0.29
179254,75939,1360,1,327.75,16.39,0.05,327.75,311.36,-0.8
179253,75938,1360,1,327.75,18.03,0.06,327.75,309.72,-0.8
179252,75937,1360,1,327.75,22.94,0.07,327.75,304.81,0.08
179251,75936,1360,1,327.75,29.5,0.09,327.75,298.25,0.45
179250,75935,1360,1,327.75,32.78,0.1,327.75,294.98,0.06
179249,75934,1360,1,327.75,39.33,0.12,327.75,288.42,0.33
179248,75933,1360,1,327.75,42.61,0.13,327.75,285.14,0.24
179247,75932,1360,1,327.75,49.16,0.15,327.75,278.59,0.48
179246,75931,1360,1,327.75,52.44,0.16,327.75,275.31,0.48
179245,75930,1360,1,327.75,55.72,0.17,327.75,272.03,0.48
179244,75929,1360,1,327.75,59,0.18,327.75,268.76,0.17
179243,75928,1360,1,327.75,65.55,0.2,327.75,262.2,0.08
179242,75927,1360,1,327.75,81.94,0.25,327.75,245.81,0.1
179241,75926,1360,1,327.75,0,0,327.75,327.75,0.05
179240,75925,1360,1,327.75,3.28,0.01,327.75,324.47,-0.8
179239,75924,1360,1,327.75,6.56,0.02,327.75,321.2,-0.77
179238,75923,1360,1,327.75,9.83,0.03,327.75,317.92,0.08
179237,75922,1360,1,327.75,13.11,0.04,327.75,314.64,0.33
179236,75921,1360,1,327.75,16.39,0.05,327.75,311.36,0.28
179235,75920,1360,1,327.75,18.03,0.06,327.75,309.72,0.5
179234,75919,1360,1,327.75,22.94,0.07,327.75,304.81,0.27
179233,75918,1360,1,327.75,29.5,0.09,327.75,298.25,0.08
179232,75917,1360,1,327.75,32.78,0.1,327.75,294.98,0.06
179231,75916,1360,1,327.75,39.33,0.12,327.75,288.42,0.31
179230,75915,1360,1,327.75,42.61,0.13,327.75,285.14,0.46
179229,75914,1360,1,327.75,49.16,0.15,327.75,278.59,0.33
179228,75913,1360,1,327.75,52.44,0.16,327.75,275.31,0.3
179227,75912,1360,1,327.75,55.72,0.17,327.75,272.03,-0.06
179226,75911,1360,1,327.75,59,0.18,327.75,268.76,0.09
179225,75910,1360,1,327.75,65.55,0.2,327.75,262.2,0.28
179224,75909,1360,1,327.75,81.94,0.25,327.75,245.81,0.46
179223,75908,1360,1,327.75,0,0,327.75,327.75,0.08
179222,75907,1360,1,327.75,3.28,0.01,327.75,324.47,-0.3
179221,75906,1360,1,327.75,6.56,0.02,327.75,321.2,-1.33
179220,75905,1360,1,327.75,9.83,0.03,327.75,317.92,0.48
179219,75904,1360,1,327.75,13.11,0.04,327.75,314.64,0.48
179218,75903,1360,1,327.75,16.39,0.05,327.75,311.36,0.2
179217,75902,1360,1,327.75,18.03,0.06,327.75,309.72,0.11
179216,75901,1360,1,327.75,22.94,0.07,327.75,304.81,0.19
179215,75900,1360,1,327.75,29.5,0.09,327.75,298.25,0.48
179214,75899,1360,1,327.75,32.78,0.1,327.75,294.98,0.46
179213,75898,1360,1,327.75,39.33,0.12,327.75,288.42,0.46
179212,75897,1360,1,327.75,42.61,0.13,327.75,285.14,0.42
179211,75896,1360,1,327.75,49.16,0.15,327.75,278.59,0.11
179210,75895,1360,1,327.75,52.44,0.16,327.75,275.31,0.31
179209,75894,1360,1,327.75,55.72,0.17,327.75,272.03,0.48
179208,75893,1360,1,327.75,59,0.18,327.75,268.76,0
71956,28744,365,2,59.99,4.8,0.04,119.98,115.18,-0.27
113598,45461,627,2,39.99,0.8,0.01,79.98,79.18,-1.55
77757,31115,502,2,50,4,0.04,100,96,0.35
114401,45766,627,2,39.99,4,0.05,79.98,75.98,0.33
119405,47752,502,2,50,9,0.09,100,91,0.1
125135,50054,502,2,50,13,0.13,100,87,-0.25
50842,20365,502,2,50,18,0.18,100,82,0.08
90273,36146,278,2,44.99,15.3,0.17,89.98,74.68,0.3
102921,41234,249,2,54.97,19.79,0.18,109.94,90.15,0.28
80250,32090,365,2,59.99,2.4,0.02,119.98,117.58,0.26
86866,34773,365,2,59.99,24,0.2,119.98,95.98,0.48
110025,44046,191,3,99.99,36,0.12,299.97,263.97,-0.7
116033,46414,627,3,39.99,6,0.05,119.97,113.97,0.34
116462,46599,917,3,21.99,1.98,0.03,65.97,63.99,-0.06
121134,48434,828,3,31.99,16.31,0.17,95.97,79.66,0.48
32072,12827,191,3,99.99,6,0.02,299.97,293.97,0.44
159828,63936,191,3,99.99,30,0.1,299.97,269.97,0.49
162548,65030,191,3,99.99,74.99,0.25,299.97,224.98,0.34
45253,18108,365,3,59.99,3.6,0.02,179.97,176.37,0.46
156394,62571,365,3,59.99,12.6,0.07,179.97,167.37,0.26
42919,17162,365,3,59.99,16.2,0.09,179.97,163.77,0.42
164735,65922,365,3,59.99,18,0.1,179.97,161.97,0.25
159829,63936,502,3,50,10.5,0.07,150,139.5,0.15
162007,64813,627,3,39.99,12,0.1,119.97,107.97,0.11
169747,67892,502,3,50,37.5,0.25,150,112.5,0.11
31344,12525,917,3,21.99,10.56,0.16,65.97,55.41,0.14
14664,5895,191,3,99.99,0,0,299.97,299.97,0.34
140970,56359,365,3,59.99,1.8,0.01,179.97,178.17,-1.6
146701,58613,365,3,59.99,9,0.05,179.97,170.97,0.25
19564,7824,365,3,59.99,9.9,0.06,179.97,170.07,0.29
19544,7814,365,3,59.99,12.6,0.07,179.97,167.37,0.48
19542,7814,365,3,59.99,16.2,0.09,179.97,163.77,-0.16
152161,60807,365,3,59.99,27,0.15,179.97,152.97,-0.77
133456,53413,365,3,59.99,27,0.15,179.97,152.97,0.31
19707,7888,502,3,50,0,0,150,150,0.48
16956,6783,627,3,39.99,4.8,0.04,119.97,115.17,0.26
142502,56973,502,3,50,6,0.04,150,144,0.16
19563,7824,502,3,50,7.5,0.05,150,142.5,0.48
137932,55155,502,3,50,10.5,0.07,150,139.5,0.31
14921,5991,502,3,50,18,0.12,150,132,0.1
5671,2263,502,3,50,18,0.12,150,132,0.35
5669,2263,502,3,50,19.5,0.13,150,130.5,0.08
133427,53403,502,3,50,25.5,0.17,150,124.5,0.13
128201,51298,627,3,39.99,20.39,0.17,119.97,99.58,0.33
12307,4919,502,5,50,10,0.04,250,240,0.04
131580,52640,627,5,39.99,10,0.05,199.95,189.95,0.29
15921,6358,627,5,39.99,11,0.06,199.95,188.95,0.36
142841,57106,502,5,50,13.75,0.06,250,236.25,0.22
15634,6245,502,5,50,13.75,0.06,250,236.25,-0.1
130341,52166,642,5,30,13.5,0.09,150,136.5,0.49
140494,56172,627,5,39.99,18,0.09,199.95,181.95,0.06
139611,55829,502,5,50,25,0.1,250,225,0.1
131161,52478,502,5,50,25,0.1,250,225,0.3
143183,57242,627,5,39.99,25.99,0.13,199.95,173.96,0.45
7805,3137,502,5,50,32.5,0.13,250,217.5,0.48
150464,60127,502,5,50,32.5,0.13,250,217.5,0.22
9521,3828,627,5,39.99,29.99,0.15,199.95,169.96,0.26
151122,60386,502,5,50,37.5,0.15,250,212.5,0.04
2420,973,627,5,39.99,31.99,0.16,199.95,167.96,0.5
145119,57999,502,5,50,42.5,0.17,250,207.5,0.34
136527,54585,502,5,50,42.5,0.17,250,207.5,0.35
144075,57598,502,5,50,50,0.2,250,200,-0.7
135699,54274,502,5,50,50,0.2,250,200,-0.16
151869,60673,627,5,39.99,49.99,0.25,199.95,149.96,0.46
148673,59387,502,5,50,62.5,0.25,250,187.5,-0.06
131577,52640,502,5,50,62.5,0.25,250,187.5,0.28
24992,10007,502,5,50,62.5,0.25,250,187.5,0.49
139976,55984,818,5,47.99,2.4,0.01,239.95,237.55,0.13
131164,52478,825,5,31.99,6.4,0.04,159.95,153.55,0.48
146090,58375,306,5,89.99,53.99,0.12,449.95,395.96,-0.2
141192,56448,977,5,29.99,25.49,0.17,149.95,124.46,0.28
20537,8221,44,5,59.99,15,0.05,299.95,284.95,0.26
145203,58034,191,5,99.99,0,0,499.95,499.95,0.3
5525,2203,191,5,99.99,5,0.01,499.95,494.95,-0.04
132642,53069,191,5,99.99,15,0.03,499.95,484.95,0.29
150522,60146,191,5,99.99,20,0.04,499.95,479.95,0.08
138585,55409,191,5,99.99,20,0.04,499.95,479.95,0.38
21674,8678,191,5,99.99,25,0.05,499.95,474.95,-1.65
19945,7980,191,5,99.99,25,0.05,499.95,474.95,0.42
143043,57185,191,5,99.99,50,0.1,499.95,449.96,-0.6
21551,8636,191,5,99.99,50,0.1,499.95,449.96,-0.05
153077,61192,251,5,89.99,112.49,0.25,449.95,337.46,0.18
139714,55876,365,5,59.99,0,0,299.95,299.95,0.47
133251,53331,365,5,59.99,3,0.01,299.95,296.95,0.28
129241,51725,365,5,59.99,3,0.01,299.95,296.95,0.06
131382,52562,365,5,59.99,6,0.02,299.95,293.95,0.11
149532,59754,365,5,59.99,9,0.03,299.95,290.95,0.09
133893,53574,365,5,59.99,12,0.04,299.95,287.95,-0.83
989,399,365,5,59.99,16.5,0.06,299.95,283.45,-0.55
127587,51050,191,1,99.99,13,0.13,99.99,86.99,0.46
114171,45680,403,1,129.99,2.6,0.02,129.99,127.39,0.35
107395,42992,403,1,129.99,11.7,0.09,129.99,118.29,0.49
103114,41304,403,1,129.99,13,0.1,129.99,116.99,0.26
