order_id,customer_id,order_date,order_status,transaction_type,order_country,order_state,order_region,market,order_profit_per_order
77202,20755,1/31/2018,COMPLETE,DEBIT,Indonesia,Java Occidental,Southeast Asia,Pacific Asia,91.25
75939,19492,1/13/2018,PENDING,TRANSFER,India,Rajastán,South Asia,Pacific Asia,-249.09
75938,19491,1/13/2018,CLOSED,CASH,India,Rajastán,South Asia,Pacific Asia,-247.78
75937,19490,1/13/2018,COMPLETE,DEBIT,Australia,Queensland,Oceania,Pacific Asia,22.86
75936,19489,1/13/2018,PENDING_PAYMENT,PAYMENT,Australia,Queensland,Oceania,Pacific Asia,134.21
75935,19488,1/13/2018,CANCELED,TRANSFER,Australia,Queensland,Oceania,Pacific Asia,18.58
75934,19487,1/13/2018,COMPLETE,DEBIT,China,Guangdong,Eastern Asia,Pacific Asia,95.18
75933,19486,1/13/2018,PROCESSING,TRANSFER,China,Guangdong,Eastern Asia,Pacific Asia,68.43
75932,19485,1/13/2018,CLOSED,CASH,China,Guangdong,Eastern Asia,Pacific Asia,133.72
75931,19484,1/13/2018,CLOSED,CASH,China,Guangdong,Eastern Asia,Pacific Asia,132.15
75930,19483,1/13/2018,SUSPECTED_FRAUD,TRANSFER,Japón,Tokio,Eastern Asia,Pacific Asia,130.58
75929,19482,1/13/2018,PENDING,TRANSFER,Indonesia,Célebes Septentrional,Southeast Asia,Pacific Asia,45.69
75928,19481,1/13/2018,PENDING,TRANSFER,Indonesia,Célebes Septentrional,Southeast Asia,Pacific Asia,21.76
75927,19480,1/13/2018,COMPLETE,DEBIT,India,Maharashtra,South Asia,Pacific Asia,24.58
75926,19479,1/13/2018,PROCESSING,TRANSFER,India,Maharashtra,South Asia,Pacific Asia,16.39
75925,19478,1/13/2018,COMPLETE,DEBIT,India,Maharashtra,South Asia,Pacific Asia,-259.58
75924,19477,1/13/2018,PENDING_PAYMENT,PAYMENT,Corea del Sur,Seúl,Eastern Asia,Pacific Asia,-246.36
75923,19476,1/13/2018,CLOSED,CASH,India,Madhya Pradesh,South Asia,Pacific Asia,23.84
75922,19475,1/13/2018,COMPLETE,DEBIT,India,Madhya Pradesh,South Asia,Pacific Asia,102.26
75921,19474,1/13/2018,PENDING_PAYMENT,PAYMENT,India,Madhya Pradesh,South Asia,Pacific Asia,87.18
75920,19473,1/13/2018,PROCESSING,TRANSFER,India,Madhya Pradesh,South Asia,Pacific Asia,154.86
75919,19472,1/13/2018,PENDING,TRANSFER,India,Madhya Pradesh,South Asia,Pacific Asia,82.3
75918,19471,1/13/2018,PENDING,TRANSFER,Australia,Victoria,Oceania,Pacific Asia,22.37
75917,19470,1/13/2018,CANCELED,TRANSFER,Australia,Victoria,Oceania,Pacific Asia,17.7
75916,19469,1/13/2018,SUSPECTED_FRAUD,TRANSFER,Australia,Queensland,Oceania,Pacific Asia,90.28
75915,19468,1/13/2018,COMPLETE,DEBIT,Australia,Australia Occidental,Oceania,Pacific Asia,131.17
75914,19467,1/13/2018,PENDING,TRANSFER,Australia,Australia Occidental,Oceania,Pacific Asia,90.54
75913,19466,1/13/2018,PENDING_PAYMENT,PAYMENT,China,Guangxi,Eastern Asia,Pacific Asia,82.59
75912,19465,1/13/2018,COMPLETE,DEBIT,China,Guangxi,Eastern Asia,Pacific Asia,-17.14
75911,19464,1/13/2018,PROCESSING,TRANSFER,China,Guangxi,Eastern Asia,Pacific Asia,23.65
75910,19463,1/13/2018,ON_HOLD,DEBIT,China,Guangxi,Eastern Asia,Pacific Asia,73.42
75909,19462,1/13/2018,COMPLETE,DEBIT,India,Delhi,South Asia,Pacific Asia,113.07
75908,19461,1/13/2018,PENDING_PAYMENT,PAYMENT,India,Delhi,South Asia,Pacific Asia,24.58
75907,19460,1/13/2018,COMPLETE,DEBIT,China,Gansu,Eastern Asia,Pacific Asia,-97.34
75906,19459,1/13/2018,PENDING_PAYMENT,PAYMENT,China,Gansu,Eastern Asia,Pacific Asia,-425.58
75905,19458,1/13/2018,PENDING_PAYMENT,PAYMENT,Singapur,Singapur,Southeast Asia,Pacific Asia,152.6
75904,19457,1/13/2018,CLOSED,CASH,India,Karnataka,South Asia,Pacific Asia,151.03
75903,19456,1/12/2018,COMPLETE,DEBIT,Australia,Nueva Gales del Sur,Oceania,Pacific Asia,62.27
75902,19455,1/12/2018,COMPLETE,DEBIT,Australia,Nueva Gales del Sur,Oceania,Pacific Asia,35
75901,19454,1/12/2018,CANCELED,TRANSFER,Australia,Nueva Gales del Sur,Oceania,Pacific Asia,57.3
75900,19453,1/12/2018,PENDING_PAYMENT,PAYMENT,Singapur,Singapur,Southeast Asia,Pacific Asia,143.16
75899,19452,1/12/2018,COMPLETE,DEBIT,Singapur,Singapur,Southeast Asia,Pacific Asia,135.69
75898,19451,1/12/2018,CLOSED,CASH,Indonesia,Sumatra Septentrional,Southeast Asia,Pacific Asia,132.67
75897,19450,1/12/2018,PENDING_PAYMENT,PAYMENT,Indonesia,Sumatra Septentrional,Southeast Asia,Pacific Asia,119.76
75896,19449,1/12/2018,COMPLETE,DEBIT,Australia,Territorio de la Capital Australiana,Oceania,Pacific Asia,31.48
75895,19448,1/12/2018,PENDING,TRANSFER,India,Karnataka,South Asia,Pacific Asia,86.17
75894,19447,1/12/2018,PENDING,TRANSFER,India,Karnataka,South Asia,Pacific Asia,130.58
75893,19446,1/12/2018,PROCESSING,TRANSFER,China,Zhejiang,Eastern Asia,Pacific Asia,0
28744,9083,2/24/2016,PENDING_PAYMENT,PAYMENT,India,Uttar Pradesh,South Asia,Pacific Asia,-30.75
45461,4741,10/25/2016,PENDING_PAYMENT,PAYMENT,Turquía,Bursa,West Asia,Pacific Asia,-122.73
31115,639,3/30/2016,PENDING_PAYMENT,PAYMENT,Australia,Australia del Sur,Oceania,Pacific Asia,33.6
45766,9702,10/30/2016,PENDING_PAYMENT,PAYMENT,Turquía,Estambul,West Asia,Pacific Asia,24.69
47752,9114,11/28/2016,PENDING_PAYMENT,PAYMENT,Mongolia,Ulán Bator,Eastern Asia,Pacific Asia,9.1
50054,1362,12/31/2016,PENDING_PAYMENT,PAYMENT,Turquía,Estambul,West Asia,Pacific Asia,-21.75
20365,8011,10/25/2015,PENDING_PAYMENT,PAYMENT,India,Rajastán,South Asia,Pacific Asia,6.15
36146,3296,6/11/2016,PENDING_PAYMENT,PAYMENT,Estados Unidos,Washington,West of USA ,USCA,22.41
41234,3182,8/24/2016,PENDING_PAYMENT,PAYMENT,Estados Unidos,California,West of USA ,USCA,25.24
32090,7864,4/13/2016,PENDING_PAYMENT,PAYMENT,Estados Unidos,California,West of USA ,USCA,30.57
34773,11169,5/22/2016,PENDING_PAYMENT,PAYMENT,Estados Unidos,Kansas,US Center ,USCA,46.07
44046,5197,10/4/2016,PENDING_PAYMENT,PAYMENT,Nigeria,Cross River,West Africa,Africa,-184.78
46414,1535,11/8/2016,PENDING_PAYMENT,PAYMENT,República Democrática del Congo,Kinshasa,Central Africa,Africa,38.75
46599,6122,11/11/2016,PENDING_PAYMENT,PAYMENT,Senegal,Dakar,West Africa,Africa,-3.65
48434,9451,12/8/2016,PENDING_PAYMENT,PAYMENT,Marruecos,Gran Casablanca,North Africa,Africa,38.23
12827,542,7/7/2015,PENDING_PAYMENT,PAYMENT,Alemania,Renania del Norte-Westfalia,Western Europe,Europe,129.35
63936,11329,7/22/2017,PENDING_PAYMENT,PAYMENT,Francia,Isla de Francia,Western Europe,Europe,132.29
65030,3570,8/7/2017,PENDING_PAYMENT,PAYMENT,Francia,Países del Loira,Western Europe,Europe,76.04
18108,650,9/22/2015,PENDING_PAYMENT,PAYMENT,Países Bajos,Groningen,Western Europe,Europe,81.13
62571,9353,7/2/2017,PENDING_PAYMENT,PAYMENT,Reino Unido,Inglaterra,Northern Europe,Europe,43.52
17162,54,9/8/2015,PENDING_PAYMENT,PAYMENT,Reino Unido,Inglaterra,Northern Europe,Europe,68.78
65922,12151,8/20/2017,PENDING_PAYMENT,PAYMENT,Francia,Alsacia-Champaña-Ardenas-Lorena,Western Europe,Europe,40.49
63936,11329,7/22/2017,PENDING_PAYMENT,PAYMENT,Francia,Isla de Francia,Western Europe,Europe,20.93
64813,10018,8/4/2017,PENDING_PAYMENT,PAYMENT,Reino Unido,Inglaterra,Northern Europe,Europe,12.2
67892,3182,9/18/2017,PENDING_PAYMENT,PAYMENT,Alemania,Renania del Norte-Westfalia,Western Europe,Europe,12.71
12525,4936,7/2/2015,PENDING_PAYMENT,PAYMENT,Francia,Provenza-Alpes-Costa Azul,Western Europe,Europe,7.76
5895,8707,3/28/2015,PENDING_PAYMENT,PAYMENT,Guatemala,Guatemala,Central America,LATAM,101.39
56359,1025,4/2/2017,PENDING_PAYMENT,PAYMENT,El Salvador,San Salvador,Central America,LATAM,-285.07
58613,8831,5/5/2017,PENDING_PAYMENT,PAYMENT,Panamá,Chiriquí,Central America,LATAM,42.74
7824,10679,4/25/2015,PENDING_PAYMENT,PAYMENT,República Dominicana,Santo Domingo,Caribbean,LATAM,49.32
7814,5007,4/25/2015,PENDING_PAYMENT,PAYMENT,Venezuela,Zulia,South America,LATAM,80.34
7814,5007,4/25/2015,PENDING_PAYMENT,PAYMENT,Venezuela,Zulia,South America,LATAM,-26.69
60807,9854,6/6/2017,PENDING_PAYMENT,PAYMENT,República Dominicana,Santo Domingo,Caribbean,LATAM,-117.33
53413,376,2/18/2017,PENDING_PAYMENT,PAYMENT,Colombia,Risaralda,South America,LATAM,47.88
7888,5417,4/26/2015,PENDING_PAYMENT,PAYMENT,El Salvador,San Salvador,Central America,LATAM,72
6783,10759,4/10/2015,PENDING_PAYMENT,PAYMENT,Honduras,Francisco Morazán,Central America,LATAM,29.94
56973,8541,4/11/2017,PENDING_PAYMENT,PAYMENT,Brasil,Bahía,South America,LATAM,23.47
7824,10679,4/25/2015,PENDING_PAYMENT,PAYMENT,República Dominicana,Santo Domingo,Caribbean,LATAM,68.4
55155,3752,3/16/2017,PENDING_PAYMENT,PAYMENT,México,Distrito Federal,Central America,LATAM,43.66
5991,4673,3/29/2015,PENDING_PAYMENT,PAYMENT,México,Jalisco,Central America,LATAM,13.2
2263,5367,2/3/2015,PENDING_PAYMENT,PAYMENT,México,Puebla,Central America,LATAM,46.2
2263,5367,2/3/2015,PENDING_PAYMENT,PAYMENT,México,Puebla,Central America,LATAM,10.44
53403,10485,2/18/2017,PENDING_PAYMENT,PAYMENT,México,Distrito Federal,Central America,LATAM,15.56
51298,9272,1/18/2017,PENDING_PAYMENT,PAYMENT,Brasil,São Paulo,South America,LATAM,32.86
4919,647,3/13/2015,PENDING,TRANSFER,Uruguay,Montevideo,South America,LATAM,9.6
52640,6398,2/7/2017,PENDING,TRANSFER,Argentina,Buenos Aires,South America,LATAM,55.09
6358,4209,4/3/2015,PENDING,TRANSFER,Brasil,São Paulo,South America,LATAM,68.59
57106,8917,4/13/2017,PENDING,TRANSFER,Brasil,São Paulo,South America,LATAM,51.98
6245,7784,4/2/2015,PENDING,TRANSFER,Brasil,Paraná,South America,LATAM,-23.63
52166,1425,1/31/2017,PENDING,TRANSFER,Cuba,Camagüey,Caribbean,LATAM,66.89
56172,2737,3/30/2017,PENDING,TRANSFER,Cuba,Las Tunas,Caribbean,LATAM,11.46
55829,6428,3/25/2017,PENDING,TRANSFER,República Dominicana,Santo Domingo,Caribbean,LATAM,22.5
52478,6543,2/5/2017,PENDING,TRANSFER,México,Nayarit,Central America,LATAM,67.5
57242,3990,4/15/2017,PENDING,TRANSFER,Panamá,Panamá,Central America,LATAM,78.28
3137,8524,2/15/2015,PENDING,TRANSFER,México,México,Central America,LATAM,104.4
60127,9204,5/27/2017,PENDING,TRANSFER,Brasil,Alagoas,South America,LATAM,47.85
3828,11761,2/25/2015,PENDING,TRANSFER,Panamá,Chiriquí,Central America,LATAM,44.19
60386,9554,5/31/2017,PENDING,TRANSFER,Brasil,Minas Gerais,South America,LATAM,8.5
973,5118,1/15/2015,PENDING,TRANSFER,Cuba,Santiago de Cuba,Caribbean,LATAM,83.98
57999,5506,4/26/2017,PENDING,TRANSFER,Honduras,Cortés,Central America,LATAM,70.14
54585,1423,3/7/2017,PENDING,TRANSFER,Perú,Lima (ciudad),South America,LATAM,72.63
57598,138,4/20/2017,PENDING,TRANSFER,Cuba,Holguín,Caribbean,LATAM,-140
54274,6360,3/3/2017,PENDING,TRANSFER,México,Veracruz,Central America,LATAM,-32.6
60673,2053,6/4/2017,PENDING,TRANSFER,Nicaragua,Managua,Central America,LATAM,68.98
59387,10344,5/16/2017,PENDING,TRANSFER,México,Tabasco,Central America,LATAM,-11.81
52640,6398,2/7/2017,PENDING,TRANSFER,Argentina,Buenos Aires,South America,LATAM,52.5
10007,3375,5/27/2015,PENDING,TRANSFER,Brasil,Ceará,South America,LATAM,91.88
55984,1339,3/28/2017,PENDING,TRANSFER,El Salvador,San Salvador,Central America,LATAM,29.69
52478,6543,2/5/2017,PENDING,TRANSFER,México,Nayarit,Central America,LATAM,73.7
58375,3990,5/2/2017,PENDING,TRANSFER,Guatemala,Guatemala,Central America,LATAM,-79.19
56448,7247,4/3/2017,PENDING,TRANSFER,Cuba,Isla de la Juventud,Caribbean,LATAM,34.85
8221,1273,4/30/2015,PROCESSING,TRANSFER,Argentina,Buenos Aires,South America,LATAM,74.09
58034,6277,4/27/2017,PROCESSING,TRANSFER,Guatemala,Chimaltenango,Central America,LATAM,149.99
2203,7701,2/2/2015,PROCESSING,TRANSFER,Guatemala,Guatemala,Central America,LATAM,-18.81
53069,4126,2/13/2017,PROCESSING,TRANSFER,Ecuador,Pichincha,South America,LATAM,140.64
60146,9528,5/27/2017,PROCESSING,TRANSFER,Nicaragua,Managua,Central America,LATAM,36
55409,1853,3/19/2017,PROCESSING,TRANSFER,Venezuela,Guárico,South America,LATAM,179.98
8678,11149,5/7/2015,PROCESSING,TRANSFER,Panamá,Panamá,Central America,LATAM,-783.67
7980,5828,4/27/2015,PROCESSING,TRANSFER,Panamá,Panamá,Central America,LATAM,199.48
57185,6887,4/14/2017,PROCESSING,TRANSFER,Guatemala,Guatemala,Central America,LATAM,-269.97
8636,4781,5/7/2015,PROCESSING,TRANSFER,Brasil,São Paulo,South America,LATAM,-22.5
61192,10668,6/12/2017,PROCESSING,TRANSFER,Brasil,Marañón,South America,LATAM,59.06
55876,5421,3/26/2017,PROCESSING,TRANSFER,Nicaragua,León,Central America,LATAM,140.98
53331,10200,2/17/2017,PROCESSING,TRANSFER,México,Distrito Federal,Central America,LATAM,81.66
51725,11254,1/25/2017,PROCESSING,TRANSFER,El Salvador,San Salvador,Central America,LATAM,18.41
52562,11106,2/6/2017,PROCESSING,TRANSFER,Argentina,Río Negro,South America,LATAM,33.22
59754,8456,5/22/2017,PROCESSING,TRANSFER,El Salvador,San Salvador,Central America,LATAM,25.31
53574,6149,2/21/2017,PROCESSING,TRANSFER,Honduras,Atlántida,Central America,LATAM,-239.86
399,1473,1/6/2015,PROCESSING,TRANSFER,México,Veracruz,Central America,LATAM,-155.9
51050,1840,1/15/2017,ON_HOLD,DEBIT,Angola,Bié,Central Africa,Africa,40.02
45680,6757,10/28/2016,ON_HOLD,DEBIT,Sudán,Jartum,North Africa,Africa,44.59
42992,3972,9/19/2016,ON_HOLD,DEBIT,Somalia,Gobolka Woqooyi Galbeed,East Africa,Africa,57.96
41304,9316,8/25/2016,ON_HOLD,DEBIT,Marruecos,Garb-Chrarda-Beni Hsen,North Africa,Africa,30.42
45680,6757,10/28/2016,ON_HOLD,DEBIT,Sudán,Jartum,North Africa,Africa,24.6
44253,11213,10/7/2016,ON_HOLD,DEBIT,Costa de Marfil,Lagunes,West Africa,Africa,48.88
46098,3474,11/3/2016,ON_HOLD,DEBIT,Egipto,Ash Sharqiyah,North Africa,Africa,0
41304,9316,8/25/2016,ON_HOLD,DEBIT,Marruecos,Garb-Chrarda-Beni Hsen,North Africa,Africa,95.54
71077,14630,11/3/2017,COMPLETE,DEBIT,Italia,Umbría,Southern Europe,Europe,-50.58
