product_id,product_name,product_price,product_status,category_id,category_name,department_id,department_name
1360,Smart watch ,327.75,0,73,Sporting Goods,2,Fitness
365,Perfect Fitness Perfect Rip Deck,59.99,0,17,Cleats,4,Apparel
627,Under Armour Girls' Toddler Spine Surge Runni,39.99,0,29,Shop By Sport,5,Golf
502,Nike Men's Dri-FIT Victory Golf Polo,50.00,0,24,Women's Apparel,5,Golf
278,Under Armour Men's Compression EV SL Slide,44.99,0,13,Electronics,3,Footwear
249,Under Armour Women's Micro G Skulpt Running S,54.97,0,12,Boxing & MMA,3,Footwear
191,Nike Men's Free 5.0+ Running Shoe,99.99,0,9,Cardio Equipment,3,Footwear
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.99,0,41,Trade-In,6,Outdoors
828,Bridgestone e6 Straight Distance NFL San Dieg,31.99,0,37,Electronics,6,Outdoors
642,Columbia Men's PFG Anchor Tough T-Shirt,30.00,0,29,Shop By Sport,5,Golf
818,Titleist Pro V1x Golf Balls,47.99,0,37,Electronics,6,Outdoors
825,Bridgestone e6 Straight Distance NFL Tennesse,31.99,0,37,Electronics,6,Outdoors
306,Polar FT4 Heart Rate Monitor,89.99,0,38,Kids' Golf Clubs,6,Outdoors
977,ENO Atlas Hammock Straps,29.99,0,44,Hunting & Shooting,7,Fan Shop
44,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99,0,3,Baseball & Softball,2,Fitness
251,Brooks Women's Ghost 6 Running Shoe,89.99,0,12,Boxing & MMA,3,Footwear
403,Nike Men's CJ Elite 2 TD Football Cleat,129.99,0,18,Men's Footwear,4,Apparel
957,Diamondback Women's Serene Classic Comfort Bi,299.98,0,43,Camping & Hiking,7,Fan Shop
1352,Industrial consumer electronics,252.88,0,65,Consumer Electronics,10,Technology
1349,Web Camera,452.04,0,62,Cameras ,10,Technology
1351,Dell Laptop,1500.00,0,64,Computers,10,Technology
60,SOLE E25 Elliptical,999.99,0,4,Basketball,2,Fitness
24,Elevation Training Mask 2.0,79.99,0,2,Soccer,2,Fitness
567,adidas Men's Germany Black Crest Away Tee,25.00,0,26,Girls' Apparel,5,Golf
893,Team Golf Pittsburgh Steelers Putter Grip,24.99,0,40,Accessories,6,Outdoors
924,Glove It Urban Brick Golf Towel,15.99,0,41,Trade-In,6,Outdoors
905,Team Golf Texas Longhorns Putter Grip,24.99,0,40,Accessories,6,Outdoors
564,Nike Men's Deutschland Weltmeister Winners Bl,30.00,0,26,Girls' Apparel,5,Golf
885,Team Golf St. Louis Cardinals Putter Grip,24.99,0,40,Accessories,6,Outdoors
1363,Summer dresses,215.82,0,76,Women's Clothing,4,Apparel
1353,Porcelain crafts,461.48,0,66,Crafts,4,Apparel
1357,Men's gala suit,210.85,0,70,Men's Clothing,4,Apparel
906,Team Golf Tennessee Volunteers Putter Grip,24.99,0,40,Accessories,6,Outdoors
886,Team Golf San Francisco Giants Putter Grip,24.99,0,40,Accessories,6,Outdoors
926,Glove It Imperial Golf Towel,15.99,0,41,Trade-In,6,Outdoors
116,Nike Men's Comfort 2 Slide,44.99,0,6,Tennis & Racquet,2,Fitness
235,Under Armour Hustle Storm Medium Duffle Bag,34.99,0,11,Fitness Accessories,3,Footwear
273,Under Armour Kids' Mercenary Slide,27.99,0,13,Electronics,3,Footwear
282,Under Armour Women's Ignite PIP VI Slide,31.99,0,13,Electronics,3,Footwear
359,Nike Men's Free TR 5.0 TB Training Shoe,99.99,0,16,As Seen on  TV!,3,Footwear
565,adidas Youth Germany Black/Red Away Match Soc,70.00,0,26,Girls' Apparel,5,Golf
572,TYR Boys' Team Digi Jammer,39.99,0,26,Girls' Apparel,5,Golf
804,Glove It Women's Imperial Golf Glove,19.99,0,36,Golf Balls,6,Outdoors
822,Titleist Pro V1x High Numbers Golf Balls,47.99,0,37,Electronics,6,Outdoors
835,Bridgestone e6 Straight Distance NFL Carolina,31.99,0,37,Electronics,6,Outdoors
276,Under Armour Women's Ignite Slide,31.99,0,13,Electronics,3,Footwear
823,Titleist Pro V1x High Numbers Personalized Go,51.99,0,37,Electronics,6,Outdoors
203,GoPro HERO3+ Black Edition Camera,399.99,0,10,Strength Training,3,Footwear
364,Total Gym 1400,299.99,0,17,Cleats,4,Apparel
1350,Children's heaters,357.10,0,63,Children's Clothing,4,Apparel
897,Team Golf New England Patriots Putter Grip,24.99,0,40,Accessories,6,Outdoors
37,adidas Kids' F5 Messi FG Soccer Cleat,34.99,0,3,Baseball & Softball,2,Fitness
172,Nike Women's Tempo Shorts,30.00,0,9,Cardio Equipment,3,Footwear
810,Glove It Women's Mod Oval Golf Glove,19.99,0,36,Golf Balls,6,Outdoors
821,Titleist Pro V1 High Numbers Personalized Gol,51.99,0,37,Electronics,6,Outdoors
93,Under Armour Men's Tech II T-Shirt,24.99,0,5,Lacrosse,2,Fitness
1347,Baby sweater,59.08,0,60,Baby ,4,Apparel
305,Mio ALPHA Heart Rate Monitor/Sport Watch,199.00,0,38,Kids' Golf Clubs,6,Outdoors
1004,Field & Stream Sportsman 16 Gun Fire Safe,399.98,0,45,Fishing,7,Fan Shop
1346,Sports Books ,31.08,0,59,Books ,8,Book Shop
58,Diamondback Boys' Insight 24 Performance Hybr,299.99,0,4,Basketball,2,Fitness
311,Polar Loop Activity Tracker,109.95,0,38,Kids' Golf Clubs,6,Outdoors
303,Garmin Forerunner 910XT GPS Watch,399.99,0,38,Kids' Golf Clubs,6,Outdoors
1354,DVDs ,164.38,0,67,DVDs,9,Discs Shop
1348,CDs of rock,11.29,0,61,CDs ,9,Discs Shop
78,Nike Kids' Grade School KD VI Basketball Shoe,99.99,0,5,Lacrosse,2,Fitness
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.99,0,12,Boxing & MMA,3,Footwear
797,Hirzl Women's Soffft Flex Golf Glove,17.99,0,36,Golf Balls,6,Outdoors
981,The North Face Women's Recon Backpack,99.00,0,44,Hunting & Shooting,7,Fan Shop
1355,Lawn mower,532.58,0,68,Garden,6,Outdoors
135,Nike Dri-FIT Crew Sock 6 Pack,22.00,0,7,Hockey,2,Fitness
134,Nike Women's Legend V-Neck T-Shirt,25.00,0,7,Hockey,2,Fitness
845,Garmin Approach S4 Golf GPS Watch,299.99,0,38,Kids' Golf Clubs,6,Outdoors
982,insta-bed Neverflat Air Mattress,149.99,0,44,Hunting & Shooting,7,Fan Shop
625,Nike Men's Kobe IX Elite Low Basketball Shoe,199.99,0,29,Shop By Sport,5,Golf
1359,Adult dog supplies,84.40,0,72,Pet Supplies,11,Pet Shop
1356,First aid kit,293.04,0,69,Health and Beauty,12,Health and Beauty 
607,Garmin Approach S3 Golf GPS Watch,249.99,0,41,Trade-In,6,Outdoors
1358,Rock music,260.65,0,71,Music,9,Discs Shop
1362,Fighting video games,39.75,0,75,Video Games,9,Discs Shop
295,Fitbit The One Wireless Activity & Sleep Trac,99.95,0,38,Kids' Golf Clubs,6,Outdoors
127,Stiga Master Series ST3100 Competition Indoor,329.99,0,7,Hockey,2,Fitness
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.99,0,4,Basketball,2,Fitness
35,adidas Brazuca 2014 Official Match Ball,159.99,0,3,Baseball & Softball,2,Fitness
858,GolfBuddy VT3 GPS Watch,199.99,0,38,Kids' Golf Clubs,6,Outdoors
860,Bushnell Pro X7 Jolt Slope Rangefinder,599.99,0,38,Kids' Golf Clubs,6,Outdoors
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189.00,0,10,Strength Training,3,Footwear
19,Nike Men's Fingertrap Max Training Shoe,124.99,0,2,Soccer,2,Fitness
226,Bowflex SelectTech 1090 Dumbbells,599.99,0,11,Fitness Accessories,3,Footwear
208,SOLE E35 Elliptical,1999.99,0,10,Strength Training,3,Footwear
793,Hirzl Women's Hybrid Golf Glove,14.99,0,36,Golf Balls,6,Outdoors
792,Hirzl Men's Hybrid Golf Glove,14.99,0,36,Golf Balls,6,Outdoors
786,TaylorMade 2014 Purelite Stand Bag,179.99,0,35,Golf Gloves,6,Outdoors
778,Bag Boy Beverage Holder,24.99,0,35,Golf Gloves,6,Outdoors
777,Bag Boy M330 Push Cart,79.99,0,35,Golf Gloves,6,Outdoors
775,Clicgear 8.0 Shoe Brush,9.99,0,35,Golf Gloves,6,Outdoors
773,Titleist Small Wheeled Travel Cover,249.99,0,35,Golf Gloves,6,Outdoors
771,Clicgear Rovic Cooler Bag,39.99,0,35,Golf Gloves,6,Outdoors
768,Titleist Club Glove Travel Cover,299.99,0,35,Golf Gloves,6,Outdoors
743,Ogio Race Golf Shoes,169.99,0,34,Golf Bags & Carts,6,Outdoors
730,LIJA Women's Argyle Golf Polo,80.00,0,33,Golf Shoes,6,Outdoors
728,LIJA Women's Eyelet Sleeveless Golf Polo,65.00,0,33,Golf Shoes,6,Outdoors
725,LIJA Women's Button Golf Dress,108.00,0,33,Golf Shoes,6,Outdoors
724,LIJA Women's Mid-Length Panel Golf Shorts,100.00,0,33,Golf Shoes,6,Outdoors
715,TaylorMade Women's RBZ SL Rescue,129.99,0,32,Golf Apparel,6,Outdoors
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,119.99,0,32,Golf Apparel,6,Outdoors
703,Top Flite Women's 2014 XL Hybrid,19.99,0,32,Golf Apparel,6,Outdoors
691,MDGolf Pittsburgh Penguins Putter,79.99,0,31,Women's Golf Clubs,6,Outdoors
677,TaylorMade White Smoke IN-12 Putter,99.99,0,31,Women's Golf Clubs,6,Outdoors
671,Cleveland Golf Collegiate My Custom Wedge 588,209.99,0,31,Women's Golf Clubs,6,Outdoors
666,Merrell Men's All Out Flash Trail Running Sho,109.99,0,30,Men's Golf Clubs,6,Outdoors
652,Merrell Women's Grassbow Sport Waterproof Hik,129.99,0,30,Men's Golf Clubs,6,Outdoors
647,Merrell Women's Siren Mid Waterproof Hiking B,134.99,0,30,Men's Golf Clubs,6,Outdoors
646,Merrell Women's Grassbow Sport Hiking Shoe,99.99,0,30,Men's Golf Clubs,6,Outdoors
1361,Toys ,11.54,0,74,Toys,7,Fan Shop
1073,Pelican Sunstream 100 Kayak,199.99,0,48,Water Sports,7,Fan Shop
